1732877362.5844414,-0.4,-0.27,0.79
1732877362.596294,-0.38,-0.27,0.79
1732877362.6366282,-0.37,-0.26,0.79
1732877362.6876183,-0.36,-0.26,0.79
1732877362.735466,-0.34,-0.25,0.79
1732877362.7910671,-0.32,-0.24,0.79
1732877362.8418016,-0.3,-0.24,0.79
1732877362.8857768,-0.28,-0.23,0.79
1732877362.94216,-0.26,-0.22,0.79
1732877362.9848287,-0.24,-0.21,0.78
1732877363.039232,-0.22,-0.2,0.78
1732877363.086412,-0.21,-0.19,0.78
1732877363.1358252,-0.19,-0.18,0.78
1732877363.1863227,-0.17,-0.17,0.78
1732877363.2361555,-0.15,-0.17,0.78
1732877363.2863154,-0.13,-0.16,0.78
1732877363.3374696,-0.11,-0.15,0.78
1732877363.3861578,-0.09,-0.14,0.78
1732877363.4360626,-0.07,-0.13,0.78
1732877363.4872713,-0.05,-0.12,0.77
1732877363.5365427,-0.02,-0.11,0.77
1732877363.5853179,-0.0,-0.1,0.77
1732877363.6358495,0.02,-0.09,0.77
1732877363.685966,0.04,-0.08,0.77
1732877363.7355838,0.06,-0.07,0.76
1732877363.7868028,0.08,-0.06,0.76
1732877363.8356695,0.1,-0.05,0.76
1732877363.8861003,0.12,-0.04,0.76
1732877363.9374018,0.14,-0.03,0.75
1732877363.984787,0.17,-0.02,0.75
1732877364.035558,0.19,-0.01,0.75
1732877364.0866823,0.21,0.0,0.74
1732877364.1371043,0.23,0.01,0.74
1732877364.1865728,0.25,0.02,0.74
1732877364.236436,0.28,0.03,0.73
1732877364.2867413,0.3,0.04,0.73
1732877364.3378386,0.32,0.05,0.73
1732877364.3862584,0.35,0.06,0.72
1732877364.43777,0.37,0.07,0.72
1732877364.4860542,0.39,0.09,0.72
1732877364.536122,0.42,0.1,0.71
1732877364.588537,0.44,0.11,0.71
1732877364.643759,0.47,0.12,0.7
1732877364.689273,0.49,0.13,0.7
1732877364.7354484,0.52,0.14,0.69
1732877364.785429,0.54,0.15,0.69
1732877364.8355358,0.57,0.16,0.69
1732877364.8866963,0.59,0.18,0.68
1732877364.9373863,0.62,0.19,0.68
1732877364.9851646,0.65,0.2,0.67
1732877365.035795,0.67,0.21,0.67
1732877365.0875535,0.7,0.22,0.66
1732877365.1351,0.73,0.23,0.66
1732877365.1866992,0.76,0.25,0.65
1732877365.2357953,0.78,0.26,0.64
1732877365.2867649,0.81,0.27,0.64
1732877365.3364203,0.84,0.28,0.63
1732877365.38556,0.87,0.29,0.63
1732877365.4360895,0.9,0.31,0.62
1732877365.4869392,0.93,0.32,0.62
1732877365.5349157,0.96,0.33,0.61
1732877365.5861099,0.99,0.34,0.6
1732877365.6378806,1.02,0.35,0.6
1732877365.6861777,1.05,0.37,0.59
1732877365.7360897,1.08,0.38,0.58
1732877365.7909076,1.11,0.39,0.58
1732877365.8355973,1.14,0.4,0.57
1732877365.8860447,1.18,0.41,0.56
1732877365.9367104,1.21,0.43,0.56
1732877365.9861796,1.24,0.44,0.55
1732877366.0357645,1.27,0.45,0.54
1732877366.08477,1.31,0.46,0.54
1732877366.1373582,1.34,0.47,0.53
1732877366.1848464,1.38,0.49,0.52
1732877366.238263,1.41,0.5,0.51
1732877366.2851622,1.45,0.51,0.51
1732877366.3389003,1.48,0.52,0.5
1732877366.3944252,1.52,0.53,0.49
1732877366.4356563,1.55,0.54,0.48
1732877366.4856658,1.59,0.55,0.48
1732877366.535136,1.63,0.56,0.47
1732877366.588455,1.66,0.57,0.46
1732877366.63527,1.7,0.59,0.45
1732877366.6863294,1.74,0.6,0.44
1732877366.739045,1.78,0.61,0.44
1732877366.7854445,1.81,0.62,0.43
1732877366.835931,1.85,0.63,0.42
1732877366.8857312,1.89,0.64,0.41
1732877366.9394746,1.93,0.65,0.4
1732877366.9858797,1.97,0.65,0.39
1732877367.0391948,2.01,0.66,0.38
1732877367.0851762,2.05,0.67,0.37
1732877367.1358006,2.09,0.68,0.37
1732877367.184586,2.13,0.69,0.36
1732877367.2348642,2.17,0.7,0.35
1732877367.284959,2.21,0.7,0.34
1732877367.3360188,2.26,0.71,0.33
1732877367.3856475,2.3,0.72,0.32
1732877367.4371932,2.34,0.73,0.31
1732877367.4859269,2.38,0.73,0.3
1732877367.537086,2.42,0.74,0.29
1732877367.5859702,2.47,0.74,0.28
1732877367.6346934,2.51,0.75,0.27
1732877367.6857116,2.55,0.76,0.26
1732877367.7355127,2.6,0.76,0.25
1732877367.7861865,2.64,0.76,0.24
1732877367.8360286,2.68,0.77,0.23
1732877367.8875725,2.73,0.77,0.22
1732877367.9378316,2.77,0.78,0.21
1732877367.98498,2.81,0.78,0.2
1732877368.037177,2.86,0.78,0.19
1732877368.090613,2.9,0.78,0.18
1732877368.1364844,2.94,0.79,0.17
1732877368.1869638,2.99,0.79,0.16
1732877368.2357032,3.03,0.79,0.15
1732877368.2874196,3.07,0.79,0.14
1732877368.3363142,3.12,0.79,0.13
1732877368.386674,3.16,0.79,0.12
1732877368.4376166,3.21,0.79,0.11
1732877368.486818,3.25,0.79,0.09
1732877368.5366707,3.29,0.78,0.08
1732877368.585394,3.34,0.78,0.07
1732877368.6362412,3.38,0.78,0.06
1732877368.6870837,3.42,0.78,0.05
1732877368.7359755,3.47,0.77,0.04
1732877368.7880356,3.51,0.77,0.03
1732877368.8362079,3.55,0.76,0.02
1732877368.886802,3.59,0.76,0.0
1732877368.9385164,3.64,0.75,-0.01
1732877368.9867544,3.68,0.75,-0.02
1732877369.0358555,3.72,0.74,-0.03
1732877369.086191,3.76,0.74,-0.04
1732877369.1404672,3.8,0.73,-0.05
1732877369.1863503,3.85,0.72,-0.07
1732877369.236894,3.89,0.71,-0.08
1732877369.28696,3.93,0.71,-0.09
1732877369.3366358,3.97,0.7,-0.1
1732877369.391673,4.01,0.69,-0.11
1732877369.4439785,4.05,0.68,-0.13
1732877369.4866781,4.09,0.67,-0.14
1732877369.5353248,4.13,0.66,-0.15
1732877369.58537,4.17,0.65,-0.16
1732877369.6353254,4.21,0.64,-0.17
1732877369.6851015,4.24,0.63,-0.19
1732877369.7349985,4.28,0.62,-0.2
1732877369.7846692,4.32,0.6,-0.21
1732877369.835969,4.36,0.59,-0.22
1732877369.8847687,4.4,0.58,-0.24
1732877369.934835,4.43,0.57,-0.25
1732877369.987776,4.47,0.55,-0.26
1732877370.0359623,4.51,0.54,-0.27
1732877370.0904996,4.54,0.53,-0.29
1732877370.1413643,4.58,0.51,-0.3
1732877370.1953077,4.61,0.5,-0.31
1732877370.2433097,4.65,0.48,-0.32
1732877370.2850661,4.68,0.47,-0.34
1732877370.341395,4.72,0.45,-0.35
1732877370.3849125,4.75,0.44,-0.36
1732877370.4362595,4.78,0.42,-0.37
1732877370.4867046,4.82,0.4,-0.39
1732877370.5355341,4.85,0.39,-0.4
1732877370.5897012,4.88,0.37,-0.41
1732877370.6348226,4.91,0.35,-0.43
1732877370.688136,4.94,0.34,-0.44
1732877370.7393808,4.97,0.32,-0.45
1732877370.7852664,5.01,0.3,-0.46
1732877370.8397374,5.04,0.28,-0.48
1732877370.8866951,5.07,0.27,-0.49
1732877370.9370568,5.1,0.25,-0.5
1732877370.984896,5.12,0.23,-0.52
1732877371.0360518,5.15,0.21,-0.53
1732877371.088256,5.18,0.19,-0.54
1732877371.135671,5.21,0.17,-0.56
1732877371.1868482,5.24,0.15,-0.57
1732877371.2366881,5.26,0.14,-0.58
1732877371.2875755,5.29,0.12,-0.6
1732877371.3400862,5.32,0.1,-0.61
1732877371.3852067,5.34,0.08,-0.62
1732877371.4359555,5.37,0.06,-0.64
1732877371.486115,5.39,0.04,-0.65
1732877371.5381637,5.42,0.02,-0.66
1732877371.5851948,5.44,-0.0,-0.67
1732877371.6367683,5.47,-0.02,-0.69
1732877371.6858373,5.49,-0.04,-0.7
1732877371.7428722,5.51,-0.06,-0.72
1732877371.790145,5.54,-0.08,-0.73
1732877371.834888,5.56,-0.1,-0.74
1732877371.888471,5.58,-0.13,-0.76
1732877371.9370084,5.6,-0.15,-0.77
1732877371.9859118,5.62,-0.17,-0.78
1732877372.037378,5.64,-0.19,-0.8
1732877372.0872684,5.66,-0.21,-0.81
1732877372.13807,5.68,-0.23,-0.82
1732877372.1894345,5.7,-0.25,-0.84
1732877372.2418463,5.72,-0.27,-0.85
1732877372.2862058,5.74,-0.29,-0.86
1732877372.336683,5.76,-0.31,-0.88
1732877372.3880455,5.78,-0.33,-0.89
1732877372.4410877,5.8,-0.36,-0.9
1732877372.4847493,5.82,-0.38,-0.92
1732877372.5424986,5.84,-0.4,-0.93
1732877372.588278,5.85,-0.42,-0.95
1732877372.6366959,5.87,-0.45,-0.96
1732877372.6868966,5.89,-0.47,-0.97
1732877372.7375553,5.91,-0.5,-0.99
1732877372.7865887,5.93,-0.52,-1.0
1732877372.8390024,5.95,-0.55,-1.02
1732877372.8872032,5.97,-0.57,-1.03
1732877372.9366739,5.98,-0.6,-1.04
1732877372.9871914,6.0,-0.63,-1.06
1732877373.0376377,6.02,-0.66,-1.07
1732877373.087637,6.04,-0.69,-1.09
1732877373.1378596,6.06,-0.71,-1.1
1732877373.185563,6.07,-0.74,-1.11
1732877373.2379029,6.09,-0.77,-1.13
1732877373.285938,6.11,-0.81,-1.14
1732877373.338425,6.13,-0.84,-1.16
1732877373.3912077,6.14,-0.87,-1.17
1732877373.4380019,6.16,-0.9,-1.19
1732877373.4890895,6.18,-0.94,-1.2
1732877373.536985,6.19,-0.97,-1.21
1732877373.589462,6.21,-1.0,-1.23
1732877373.635862,6.23,-1.04,-1.24
1732877373.6853445,6.24,-1.07,-1.26
1732877373.7367659,6.26,-1.11,-1.27
1732877373.786238,6.27,-1.15,-1.29
1732877373.8376913,6.29,-1.19,-1.3
1732877373.8873718,6.3,-1.22,-1.31
1732877373.9377775,6.32,-1.26,-1.33
1732877373.9874802,6.33,-1.3,-1.34
1732877374.0394251,6.34,-1.34,-1.36
1732877374.0899885,6.36,-1.38,-1.37
1732877374.1363952,6.37,-1.43,-1.39
1732877374.1870966,6.38,-1.47,-1.4
1732877374.2380004,6.39,-1.51,-1.41
1732877374.286804,6.4,-1.56,-1.43
1732877374.339145,6.41,-1.6,-1.44
1732877374.3854158,6.42,-1.65,-1.46
1732877374.4375117,6.43,-1.69,-1.47
1732877374.4857526,6.44,-1.74,-1.49
1732877374.5350378,6.45,-1.79,-1.5
1732877374.5875874,6.46,-1.83,-1.51
1732877374.6385264,6.47,-1.88,-1.53
1732877374.6871612,6.48,-1.93,-1.54
1732877374.7346408,6.48,-1.98,-1.56
1732877374.7862957,6.49,-2.04,-1.57
1732877374.8401995,6.49,-2.09,-1.58
1732877374.8864226,6.5,-2.14,-1.6
1732877374.938065,6.5,-2.2,-1.61
1732877374.9865627,6.51,-2.25,-1.63
1732877375.0369499,6.51,-2.31,-1.64
1732877375.087133,6.51,-2.36,-1.65
1732877375.1369405,6.51,-2.42,-1.67
1732877375.1855803,6.51,-2.48,-1.68
1732877375.237772,6.51,-2.54,-1.69
1732877375.2870374,6.51,-2.6,-1.71
1732877375.3360078,6.51,-2.66,-1.72
1732877375.3873723,6.5,-2.72,-1.73
1732877375.4396155,6.5,-2.79,-1.75
1732877375.4867692,6.49,-2.85,-1.76
1732877375.5379345,6.49,-2.92,-1.77
1732877375.5890458,6.48,-2.98,-1.79
1732877375.6396196,6.47,-3.05,-1.8
1732877375.6910713,6.46,-3.12,-1.81
1732877375.7347705,6.45,-3.19,-1.83
1732877375.7886393,6.44,-3.26,-1.84
1732877375.836138,6.43,-3.33,-1.85
1732877375.886715,6.41,-3.4,-1.86
1732877375.9419737,6.4,-3.48,-1.88
1732877375.985477,6.38,-3.55,-1.89
1732877376.0382617,6.37,-3.63,-1.9
1732877376.0858781,6.35,-3.7,-1.91
1732877376.136029,6.33,-3.78,-1.93
1732877376.1851883,6.3,-3.86,-1.94
1732877376.234986,6.28,-3.94,-1.95
1732877376.2849972,6.26,-4.02,-1.96
1732877376.335693,6.23,-4.1,-1.97
1732877376.3863714,6.2,-4.19,-1.98
1732877376.4362106,6.17,-4.27,-2.0
1732877376.4884965,6.14,-4.35,-2.01
1732877376.5354111,6.11,-4.44,-2.02
1732877376.5866914,6.08,-4.53,-2.03
1732877376.6358066,6.04,-4.61,-2.04
1732877376.6858606,6.0,-4.7,-2.05
1732877376.7364056,5.96,-4.79,-2.06
1732877376.7877564,5.92,-4.88,-2.07
1732877376.8382294,5.88,-4.97,-2.08
1732877376.885442,5.84,-5.06,-2.09
1732877376.9356303,5.8,-5.16,-2.1
1732877376.9858875,5.75,-5.25,-2.11
1732877377.0360103,5.7,-5.34,-2.12
1732877377.0880015,5.65,-5.44,-2.13
1732877377.1368632,5.6,-5.53,-2.14
1732877377.1856809,5.55,-5.63,-2.15
1732877377.2361088,5.49,-5.72,-2.16
1732877377.2867472,5.44,-5.82,-2.17
1732877377.3369915,5.38,-5.92,-2.18
1732877377.3856478,5.32,-6.01,-2.19
1732877377.4394655,5.26,-6.11,-2.2
1732877377.4913871,5.2,-6.21,-2.21
1732877377.5381513,5.14,-6.31,-2.22
1732877377.5859914,5.07,-6.4,-2.23
1732877377.6371806,5.0,-6.5,-2.23
1732877377.685253,4.94,-6.6,-2.24
1732877377.7406647,4.87,-6.7,-2.25
1732877377.7888105,4.8,-6.8,-2.26
1732877377.836061,4.73,-6.89,-2.27
1732877377.8868484,4.66,-6.99,-2.28
1732877377.9355059,4.58,-7.09,-2.28
1732877377.9898689,4.51,-7.19,-2.29
1732877378.0364447,4.43,-7.28,-2.3
1732877378.0879238,4.36,-7.38,-2.31
1732877378.1411462,4.28,-7.48,-2.31
1732877378.1860857,4.2,-7.57,-2.32
1732877378.2370224,4.12,-7.67,-2.33
1732877378.2851322,4.04,-7.77,-2.34
1732877378.3360562,3.96,-7.86,-2.34
1732877378.3847587,3.88,-7.96,-2.35
1732877378.4371617,3.8,-8.05,-2.36
1732877378.4847493,3.71,-8.14,-2.36
1732877378.5359855,3.63,-8.24,-2.37
1732877378.5848024,3.55,-8.33,-2.37
1732877378.6356032,3.46,-8.42,-2.38
1732877378.686319,3.38,-8.51,-2.39
1732877378.7349908,3.29,-8.6,-2.39
1732877378.788561,3.2,-8.69,-2.4
1732877378.8367262,3.12,-8.78,-2.41
1732877378.8871522,3.03,-8.87,-2.41
1732877378.935517,2.94,-8.96,-2.42
1732877378.9853427,2.86,-9.05,-2.42
1732877379.039962,2.77,-9.13,-2.43
1732877379.0864906,2.68,-9.22,-2.43
1732877379.1350641,2.6,-9.3,-2.44
1732877379.1897237,2.51,-9.39,-2.44
1732877379.2370975,2.42,-9.47,-2.45
1732877379.2865424,2.34,-9.55,-2.45
1732877379.3353488,2.25,-9.63,-2.46
1732877379.3867502,2.16,-9.71,-2.46
1732877379.436329,2.07,-9.79,-2.47
1732877379.4860575,1.99,-9.87,-2.47
1732877379.53719,1.9,-9.95,-2.48
1732877379.5860221,1.82,-10.03,-2.48
1732877379.6375318,1.73,-10.1,-2.48
1732877379.6889849,1.64,-10.18,-2.49
1732877379.7357895,1.56,-10.25,-2.49
1732877379.7883193,1.47,-10.33,-2.5
1732877379.836591,1.39,-10.4,-2.5
1732877379.886803,1.31,-10.47,-2.5
1732877379.9365377,1.22,-10.54,-2.51
1732877379.9867866,1.14,-10.61,-2.51
1732877380.0380523,1.06,-10.68,-2.51
1732877380.085608,0.98,-10.75,-2.52
1732877380.1369224,0.9,-10.82,-2.52
1732877380.1862493,0.81,-10.88,-2.52
1732877380.2368734,0.73,-10.95,-2.53
1732877380.2862878,0.66,-11.01,-2.53
1732877380.3373485,0.58,-11.08,-2.53
1732877380.3870285,0.5,-11.14,-2.54
1732877380.434959,0.42,-11.21,-2.54
1732877380.4862108,0.34,-11.27,-2.54
1732877380.5421774,0.27,-11.33,-2.54
1732877380.58764,0.19,-11.39,-2.55
1732877380.6369495,0.12,-11.45,-2.55
1732877380.6870506,0.04,-11.51,-2.55
1732877380.7372167,-0.03,-11.56,-2.55
1732877380.7863333,-0.1,-11.62,-2.56
1732877380.8403707,-0.17,-11.68,-2.56
1732877380.8873708,-0.25,-11.73,-2.56
1732877380.9360244,-0.32,-11.79,-2.56
1732877380.9854238,-0.39,-11.84,-2.56
1732877381.0557365,-0.45,-11.9,-2.57
1732877381.0874345,-0.52,-11.95,-2.57
1732877381.1399958,-0.59,-12.0,-2.57
1732877381.1871586,-0.66,-12.05,-2.57
1732877381.235362,-0.72,-12.11,-2.57
1732877381.2849786,-0.79,-12.16,-2.57
1732877381.3371801,-0.85,-12.21,-2.57
1732877381.387233,-0.92,-12.26,-2.58
1732877381.4991677,-0.98,-12.3,-2.58
1732877381.5046277,-1.03,-12.34,-2.58
1732877381.5370834,-1.07,-12.38,-2.58
1732877381.5869365,-1.1,-12.4,-2.58
1732877381.6374588,-1.12,-12.43,-2.57
1732877381.6911345,-1.13,-12.45,-2.57
1732877381.7376108,-1.15,-12.46,-2.57
1732877381.786648,-1.15,-12.48,-2.57
1732877381.8369517,-1.16,-12.49,-2.57
1732877381.8862162,-1.17,-12.5,-2.57
1732877381.937439,-1.17,-12.51,-2.56
1732877381.9865015,-1.18,-12.52,-2.56
1732877382.0366728,-1.18,-12.54,-2.56
1732877382.089657,-1.18,-12.55,-2.56
1732877382.137133,-1.19,-12.56,-2.55
1732877382.185004,-1.19,-12.57,-2.55
1732877382.2384365,-1.2,-12.58,-2.55
1732877382.2869203,-1.2,-12.59,-2.55
1732877382.336627,-1.21,-12.61,-2.54
1732877382.3874993,-1.21,-12.62,-2.54
1732877382.4357905,-1.21,-12.63,-2.54
1732877382.4867463,-1.22,-12.64,-2.54
1732877382.5371056,-1.22,-12.66,-2.53
1732877382.5849147,-1.23,-12.67,-2.53
1732877382.636333,-1.24,-12.68,-2.53
1732877382.689037,-1.24,-12.69,-2.52
1732877382.7359045,-1.25,-12.71,-2.52
1732877382.7888684,-1.25,-12.72,-2.52
1732877382.8348677,-1.26,-12.73,-2.51
1732877382.8872502,-1.26,-12.75,-2.51
1732877382.936068,-1.27,-12.76,-2.51
1732877382.9870708,-1.28,-12.77,-2.5
1732877383.037302,-1.28,-12.79,-2.5
1732877383.0847483,-1.29,-12.8,-2.5
1732877383.1383185,-1.3,-12.82,-2.49
1732877383.1843338,-1.3,-12.82,-2.49
1732877383.234533,-1.3,-12.82,-2.49
1732877383.284713,-1.3,-12.82,-2.49
1732877383.3370242,-1.3,-12.82,-2.49
1732877383.385358,-1.3,-12.82,-2.49
1732877383.4357572,-1.3,-12.82,-2.49
1732877383.4861271,-1.3,-12.82,-2.49
1732877383.535413,-1.3,-12.82,-2.49
1732877383.5846848,-1.3,-12.82,-2.49
1732877383.6340458,-1.3,-12.82,-2.49
1732877383.6839716,-1.3,-12.82,-2.49
1732877383.7353115,-1.3,-12.82,-2.49
1732877383.7851522,-1.3,-12.82,-2.49
1732877383.8345115,-1.3,-12.82,-2.49
1732877383.884486,-1.3,-12.82,-2.49
1732877383.9350166,-1.3,-12.82,-2.49
1732877383.984159,-1.3,-12.82,-2.49
1732877384.0352285,-1.3,-12.82,-2.49
1732877384.0885868,-1.3,-12.82,-2.49
1732877384.1347973,-1.3,-12.82,-2.49
1732877384.1846783,-1.3,-12.82,-2.49
1732877384.2363896,-1.3,-12.82,-2.49
1732877384.2841196,-1.3,-12.82,-2.49
1732877384.334164,-1.3,-12.82,-2.49
1732877384.3853252,-1.3,-12.82,-2.49
1732877384.43509,-1.3,-12.82,-2.49
1732877384.4854825,-1.3,-12.82,-2.49
1732877384.5346365,-1.3,-12.82,-2.49
1732877384.589138,-1.3,-12.82,-2.49
1732877384.6351867,-1.3,-12.82,-2.49
1732877384.6839125,-1.3,-12.82,-2.49
1732877384.7356591,-1.3,-12.82,-2.49
1732877384.7841356,-1.3,-12.82,-2.49
1732877384.8358464,-1.3,-12.82,-2.49
1732877384.8848834,-1.3,-12.82,-2.49
1732877384.9361637,-1.3,-12.82,-2.49
1732877384.9840147,-1.3,-12.82,-2.49
1732877385.0356777,-1.3,-12.82,-2.49
1732877385.0847912,-1.3,-12.82,-2.49
1732877385.1343892,-1.3,-12.82,-2.49
